Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
480,0,0.087081,0.703207,0.786659
481,0,0.088577,0.688573,0.851814
482,0,0.086448,0.691053,0.676722
483,0,0.087783,0.685959,0.824763
484,0,0.081532,0.640132,0.593799
485,0,0.090256,0.704972,0.772904
486,0,0.096568,0.748138,0.863124
487,0,0.091108,0.758220,0.687783
488,0,0.094455,0.768655,0.911103
489,0,0.080576,0.636371,0.789321
490,0,0.091310,0.751446,0.757995
491,0,0.084644,0.651927,0.655215
492,0,0.089538,0.703051,0.658785
493,0,0.086222,0.728657,0.769409
494,0,0.081492,0.655138,0.647782
495,0,0.086352,0.693794,0.804240
496,0,0.092301,0.748434,0.708320
497,0,0.085989,0.705721,0.703352
498,0,0.085996,0.677309,0.746867
499,0,0.109053,0.701553,1.163247
500,0,0.089873,0.752951,0.763360
501,0,0.089916,0.734171,0.761928
502,0,0.082117,0.693514,0.727703
503,0,0.090557,0.726571,0.854721
504,0,0.082034,0.643969,0.661344
505,0,0.086484,0.684202,0.643177
506,0,0.085157,0.745718,0.810658
507,0,0.083062,0.668511,0.690539
508,0,0.081901,0.633857,0.642524
509,0,0.087180,0.668804,0.732348
510,0,0.091463,0.693998,0.778983
511,0,0.091467,0.769615,0.941000
512,0,0.085757,0.684846,0.646945
513,0,0.089973,0.741397,0.817417
514,0,0.089032,0.781032,0.850131
515,0,0.090920,0.758673,0.847891
516,0,0.082492,0.576988,0.951210
517,0,0.093393,0.803888,0.979835
518,0,0.089211,0.682441,0.799362
519,0,0.094536,0.740826,0.813208
520,0,0.079750,0.649093,0.659597
521,0,0.089801,0.720228,0.740131
522,0,0.090793,0.737269,0.766891
523,0,0.087549,0.716079,0.655992
524,0,0.095612,0.743818,0.805147
525,0,0.086036,0.749657,0.951285
526,0,0.092456,0.782572,1.115593
527,0,0.089426,0.716341,0.825027
528,0,0.089185,0.742821,0.711641
529,0,0.084665,0.674747,0.698909
530,0,0.092375,0.789056,0.821782
531,0,0.090591,0.740700,0.786723
532,0,0.082294,0.669310,0.693791
533,0,0.087654,0.685254,0.632848
534,0,0.088071,0.653325,0.684938
535,0,0.089280,0.709212,0.681208
536,0,0.090293,0.717630,0.723171
537,0,0.081493,0.636748,0.675024
538,0,0.080579,0.666508,0.661478
539,0,0.090523,0.731347,0.877395
540,0,0.084893,0.711632,0.695911
541,0,0.089037,0.724165,0.919788
542,0,0.082623,0.673024,0.798007
543,0,0.082015,0.631779,0.559432
544,0,0.089327,0.759076,0.815456
545,0,0.080506,0.683847,0.696441
546,0,0.086533,0.733054,0.690915
547,0,0.083140,0.655460,0.602364
548,0,0.082630,0.618357,0.571655
549,0,0.083956,0.635145,0.655098
550,0,0.089282,0.743636,0.705435
551,0,0.090677,0.751273,0.743927
552,0,0.080367,0.619549,0.604106
553,0,0.079996,0.619610,0.532815
554,0,0.087085,0.717201,0.794565
555,0,0.090597,0.735382,0.746057
556,0,0.091210,0.739762,0.904469
557,0,0.081563,0.688656,0.749215
558,0,0.092699,0.758858,0.813364
559,0,0.082874,0.638432,0.703969
560,0,0.088638,0.711613,0.774670
561,0,0.087794,0.695151,0.631409
562,0,0.094226,0.735636,0.823428
563,0,0.092264,0.655543,0.995967
564,0,0.082211,0.741809,0.975696
565,0,0.085208,0.663146,0.703228
566,0,0.088663,0.706593,0.792410
567,0,0.086717,0.722547,0.729132
568,0,0.082145,0.660515,0.684270
569,0,0.083575,0.715325,0.850692
570,0,0.087113,0.720336,1.064398
571,0,0.084138,0.660245,0.632672
572,0,0.089834,0.692042,0.809680
573,0,0.092437,0.727634,0.756796
574,0,0.088896,0.717919,0.691661
575,0,0.087258,0.693653,0.644212
576,0,0.092271,0.747386,0.850374
577,0,0.086083,0.696702,0.613913
578,0,0.096207,0.762263,0.833807
579,0,0.088688,0.712711,0.675389
580,0,0.093600,0.764060,0.949374
581,0,0.089640,0.692588,0.716112
582,0,0.084752,0.686338,0.642617
583,0,0.094347,0.798513,0.725950
584,0,0.090852,0.746147,0.891448
585,0,0.080806,0.699050,0.659647
586,0,0.090817,0.778856,0.749216
587,0,0.092559,0.748789,0.798191
588,0,0.086158,0.692147,0.689039
589,0,0.088509,0.771687,0.807726
590,0,0.089501,0.711485,0.793037
591,0,0.090622,0.713706,0.641479
592,0,0.082389,0.640293,0.599289
593,0,0.086873,0.687903,0.703410
594,0,0.080291,0.621832,0.705964
595,0,0.099724,0.849071,0.917541
596,0,0.080854,0.683367,0.818712
597,0,0.073525,0.621058,0.927965
598,0,0.083870,0.685605,0.781140
599,0,0.099276,0.789867,0.795153
600,0,0.083516,0.726515,0.823423
601,0,0.089101,0.724389,0.698628
602,0,0.091350,0.750610,0.790016
603,0,0.086568,0.707851,0.660748
604,0,0.088047,0.730092,0.695875
605,0,0.095674,0.735019,0.846595
