Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
589,0,0.7081006,7.104052
590,0,0.7438197,7.563699
591,0,0.6807929,7.091119
592,0,0.5988367,7.077113
593,0,0.7644608,8.128486
594,0,0,19.4923
595,0,0.6868756,7.214287
596,0,0.6469588,6.331984
597,0,0.8571727,9.023562
598,0,0,9.044093
599,0,0.6993801,7.026662
600,0,0.7226445,7.815726
601,0,0.5910391,6.125719
602,0,0.7924832,8.753434
603,0,0.7442888,6.843206
604,0,0.6815559,6.630471
605,0,0.598736,6.345413
606,0,0.638331,6.825381
607,0,0.7796264,7.935029
608,0,0.637133,6.535885
609,0,0.7517936,8.263828
610,0,0.8205786,7.697986
611,0,0.5840725,6.010894
612,0,0.6724074,7.085248
613,0,0.7377408,7.697597
614,0,0.6890494,6.257905
615,0,0.6714008,6.813954
616,0,0.7531538,7.258488
617,0,0.7257181,6.752778
618,0,0.6435224,6.997365
619,0,0.6438198,6.9071
620,0,0,26.37189
621,0,0.7238435,6.778539
622,0,0.6892381,7.194613
623,0,0.6777203,7.372889
624,0,0.6807505,7.222689
625,0,0.7156264,7.181997
626,0,0.6442246,6.430474
627,0,0.7502666,7.960999
628,0,0,19.85091
629,0,0.7562692,7.366646
630,0,0.6079413,6.713537
631,0,0.7866067,7.526536
632,0,0.7790513,7.61322
633,0,0.5763245,6.067902
634,0,0.8394246,7.857995
635,0,0.6327692,6.616711
636,0,0.5970202,6.289237
637,0,0.8150758,7.259056
638,0,0.7761359,7.98457
639,0,0.5932239,6.488647
640,0,0.8000234,8.321045
641,0,0.5827885,6.100815
642,0,0.6469104,7.185912
643,0,0.7615939,7.76759
644,0,0.8033255,8.245476
645,0,0.6675996,6.713023
646,0,0.7635494,7.853831
647,0,0.5116948,6.787385
648,0,0.6491307,7.160113
649,0,0.6524159,7.231662
650,0,0.5902102,7.171599
651,0,0.702889,7.075173
652,0,0.7786637,7.87926
653,0,0.7540151,7.314341
654,0,0.6737021,6.612186
655,0,0.5863478,7.338906
656,0,0.6006879,6.571274
657,0,0.742143,7.371882
658,0,0.7470958,7.851885
659,0,0.6912141,7.244258
660,0,0.6071308,7.288135
661,0,0.6221965,6.906574
662,0,0.7022831,7.784936
663,0,0.7710263,7.585063
664,0,0.6591205,7.358441
665,0,0.742348,7.090407
666,0,0.6694345,7.455445
667,0,0.7272776,7.719934
668,0,0,20.07188
669,0,0.6687,7.315709
670,0,0.8118464,8.956041
671,0,0.7430142,7.033225
672,0,0.6222841,5.928937
673,0,0.7245708,7.955279
674,0,0.6764786,6.678223
675,0,0.5845936,6.172421
676,0,0.725949,7.228417
677,0,0.5953568,6.846807
678,0,0.8159744,8.916606
679,0,0.6480717,7.274681
680,0,0.6460878,6.642852
681,0,0.7018333,7.104682
682,0,0.643685,6.585609
683,0,0.6816587,7.414821
684,0,0.7402388,8.237538
685,0,0.8141599,8.519249
686,0,0,25.90126
687,0,0,0
688,0,0.5599431,6.712495
689,0,0.6386148,7.164985
690,0,0.7811729,7.736917
691,0,0.6868536,6.022754
692,0,0.6749279,7.246039
693,0,0.6163594,6.802398
694,0,0.9203525,7.759099
695,0,0.649113,6.917012
696,0,0.5656034,6.327284
697,0,0.7444016,7.72305
698,0,0.7350108,8.180325
699,0,0.938795,8.196394
700,0,0.3065127,4.338073
701,0,0.9943993,8.571189
702,0,0.6650164,6.609617
703,0,0,13.07136
704,0,0.7526345,7.165347
705,0,0,20.92015
706,0,0,0
707,0,0.6527731,6.506161
708,0,0.684208,7.475922
709,0,0.7047802,7.174907
710,0,0.6538074,7.231419
711,0,0.6888811,6.422451
712,0,0.5529999,6.580909
713,0,0.503188,6.118625
714,0,0.6970701,6.815739
715,0,0.6153507,6.825071
716,0,0.6260075,6.092548
717,0,0.6919969,6.910816
718,0,0.6171197,6.918147
719,0,0.6636552,6.832448
720,0,0.6870019,6.322652
721,0,0.8081509,8.187471
722,0,0.8278975,7.522966
723,0,0.6576696,6.76674
724,0,0.6732203,6.492198
725,0,0.6118932,6.618433
726,0,0.6108662,6.227199
727,0,0,16.13643
728,0,0.6701961,7.105651
729,0,0.7058049,7.929367
730,0,0.6650843,7.113796
731,0,0.6679632,6.842368
732,0,0.7167053,6.739521
733,0,0.659835,6.557552
734,0,0.5939458,7.196838
735,0,1.051599,8.457254
736,0,0.7101799,7.070207
737,0,0.7020025,7.103154
738,0,0.5324064,6.285954
739,0,0.71578,7.402864
740,0,0.4016968,4.834417
741,0,0.7275342,7.163969
742,0,0.8203678,7.62302
743,0,0.6557755,6.600337
744,0,0.5976906,7.460927
745,0,0.8830686,7.170587
746,0,0.6910731,7.104993
747,0,0.6944683,8.161924
748,0,0,22.52419
749,0,0.881201,8.672622
750,0,0.8492656,8.396911
751,0,0.6685912,6.708399
752,0,0.5852661,7.817398
753,0,0.6901287,7.817298
754,0,0.7122805,7.434799
755,0,0,10.15832
756,0,0.7381861,7.644405
757,0,0.6561169,7.037664
758,0,0,12.21404
759,0,0.658576,6.914865
760,0,0.6810769,7.159142
761,0,0.6697525,6.465497
762,0,0.702064,7.415777
763,0,0.7600942,8.071072
764,0,0.8155245,7.979435
765,0,0.6335638,6.825635
766,0,0.6155865,6.232733
767,0,0.7493549,5.989975
768,0,0.7231507,6.807
769,0,0.7240308,7.522328
770,0,0.7528748,8.192966
771,0,0.6073405,6.03549
772,0,0.694176,7.270232
773,0,0.5666623,6.45382
774,0,0.6564902,7.422394
775,0,0,11.13887
776,0,0.6568265,7.629504
777,0,0.6753942,6.51582
778,0,0.6089594,6.822068
779,0,0.6253347,6.293499
780,0,0.5695811,7.159366
781,0,0.7856752,8.142079
782,0,0.656628,7.450252
783,0,0.805926,8.369983
784,0,0.6681827,6.695815
785,0,0.6091588,6.289229
786,0,0.6364083,6.864743
787,0,0.7244061,7.400963
788,0,0.5539446,6.765589
789,0,0.705819,7.001318
790,0,0.7230334,8.629494
791,0,0.6849299,7.763543
792,0,0.713706,6.801898
793,0,0,11.12968
794,0,0.7868063,7.262638
795,0,0.7271994,6.582039
796,0,0.6736636,6.587518
797,0,0.632735,6.7013
798,0,0.572668,5.751969
799,0,0.7297178,7.751391
800,0,0.6640576,6.922517
801,0,0.6659172,7.374709
802,0,0.7098534,7.3789
803,0,0.6216538,6.915432
804,0,0.8021267,7.332242
805,0,0.5212252,6.39096
806,0,0.6403922,7.023998
807,0,0.831476,7.731823
808,0,0.7044221,7.459544
809,0,0.760188,6.979386
810,0,0.7476231,7.799525
811,0,0.712463,7.638876
812,0,0.7424911,7.475484
813,0,0.7887518,7.340966
814,0,0,12.71208
815,0,0.6727139,6.469739
816,0,0.5006429,6.155454
817,0,0.8088541,8.494993
818,0,0.8740073,8.372167
819,0,0.8273998,8.660686
820,0,0.6397042,7.692921
821,0,0.6282375,5.891128
822,0,0.670586,6.618421
823,0,0.71775,6.800277
824,0,0.7037802,7.74275
825,0,0.956717,9.02541
826,0,0.5301214,7.68854
827,0,0.7486899,6.894178
828,0,0.6996896,7.106072
829,0,0.8683516,8.50696
830,0,0.7395704,6.908268
831,0,0.7108048,7.352278
832,0,0.7448535,7.491647
833,0,0.6633287,7.543307
834,0,0.6281077,6.432762
835,0,0.7284452,7.866956
836,0,0.7308819,7.605194
837,0,0.7259399,6.872991
838,0,0.8154568,7.847449
839,0,0.7122349,7.594398
840,0,0.6891686,6.950445
841,0,0.8007748,7.696286
842,0,0.6842387,7.223074
843,0,0.6950967,7.487747
844,0,0.70047,7.441963
845,0,0.6597141,6.673179
846,0,0.6883458,7.202524
847,0,0,25.9612
848,0,0.8155568,8.070215
849,0,0.8601668,9.144055
850,0,0.8264449,8.575337
851,0,0.6784696,7.555547
852,0,0.8294851,8.27955
853,0,0.672472,6.857223
854,0,0.7163262,6.859138
855,0,0.6803049,6.516173
856,0,0.6254827,6.175928
857,0,0.7442496,8.382642
858,0,0.6873774,7.312246
859,0,0.7308153,7.323761
860,0,0.7524321,7.922447
861,0,0.6954141,7.714029
862,0,0.8992803,8.255439
863,0,0.7680036,7.458334
864,0,0.8127505,8.337367
865,0,0.6447058,7.375779
866,0,0.6946204,7.049681
867,0,0.6750718,6.784066
868,0,0.7331614,8.205546
869,0,0.6901038,7.185696
870,0,0.6021509,6.744639
871,0,0.6644287,7.377077
872,0,0.6896645,7.646469
873,0,0.8640786,8.055401
874,0,0.6176888,6.435643
875,0,0.7050046,7.089148
876,0,0.8031691,7.482993
877,0,0.7728176,7.152555
878,0,0.6752442,7.504499
879,0,0.7081345,7.576065
880,0,0.6632582,7.166542
881,0,0.8142337,7.362335
882,0,0.6954359,7.282341
883,0,0.6249316,7.373718
884,0,0.7373735,6.541052
885,0,0.6985013,7.457362
886,0,0.5948656,7.207474
887,0,0.5918351,7.593204
888,0,0.668283,6.433423
889,0,0.6048347,6.224377
890,0,0.6653584,6.856908
891,0,0.5818981,6.806787
892,0,0.6294941,7.103474
893,0,0.7821324,7.16379
894,0,0.7416189,7.99489
895,0,0.7309965,7.101868
896,0,0.8600436,7.509355
897,0,0.7980462,8.163576
898,0,0.6604781,7.179777
899,0,0.7090544,7.655127
900,0,0.6737714,8.18075
901,0,0.689263,7.139209
902,0,0.6109233,7.050073
903,0,0.6064801,6.794385
904,0,0.683216,6.838157
905,0,0.7584022,7.270809
906,0,0.7028175,7.670465
907,0,0.8317189,8.067155
908,0,0.8027685,7.740606
909,0,0.6605195,6.231737
910,0,0.6856331,7.721367
911,0,0.6686795,6.791764
912,0,0.7229135,7.054781
913,0,0.6405976,6.585914
914,0,0.6798963,7.219827
915,0,0.6409805,7.355208
916,0,0.6195831,6.007957
917,0,0.8508777,8.841008
918,0,0.6610138,6.607148
919,0,0.6401387,7.698615
920,0,0.5734562,6.766664
921,0,0.6859145,7.67962
922,0,0.8081819,8.17838
923,0,0.8044465,8.240088
924,0,0.6425954,6.094151
925,0,0.6955898,7.133646
926,0,0.9048829,8.842064
927,0,0.8024082,7.838593
928,0,0.7655794,7.75887
929,0,0.6303779,6.704823
930,0,0.7223248,7.116764
931,0,0.705276,7.047519
932,0,0.7107584,7.769388
933,0,0.6832064,5.523585
934,0,0.803382,8.268021
935,0,0.6333815,6.289561
936,0,0.7236771,8.263655
937,0,0.675334,6.79043
938,0,0.8081431,8.791182
939,0,0.6273338,5.675551
940,0,0.891617,8.438591
941,0,0.5079946,4.99122
942,0,0.712236,7.351113
943,0,0.7885574,7.354121
944,0,0.57211,7.184073
945,0,0,15.52579
946,0,0.7443163,7.05096
