Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
519,0,0.5852208,5.736424
520,0,0.5540829,5.474551
521,0,0.5224364,5.046778
522,0,0,16.01821
523,0,0.5595813,5.830453
524,0,0.5136844,5.183949
525,0,0.554275,6.293702
526,0,0.545765,5.767124
527,0,0.5020007,5.209475
528,0,0.4983555,5.393687
529,0,0.5322288,5.552904
530,0,0.5619447,5.006757
531,0,0.5550688,5.746605
532,0,0.4920389,5.893326
533,0,0.5784089,6.052725
534,0,0.5148775,4.72999
535,0,0.544478,5.270553
536,0,0.537726,5.146083
537,0,0.2905903,3.934785
538,0,0.524064,4.986437
539,0,0,8.143718
540,0,0.5596209,5.963947
541,0,0.5354024,5.409353
542,0,0.5127819,5.270192
543,0,0.4934371,5.389741
544,0,0.43737,4.097732
545,0,0.4689315,5.661796
546,0,0.5064377,4.980983
547,0,0.4944485,5.756634
548,0,0.5353453,5.322588
549,0,0.507859,5.20492
550,0,0.5109469,5.132886
551,0,0.524834,5.435505
552,0,0.5263146,5.122323
553,0,0.5636693,5.839938
554,0,0.514648,5.192445
555,0,0.4735365,5.029691
556,0,0.5243008,5.360327
557,0,0.5656773,5.572051
558,0,0,15.70868
559,0,0.5500748,5.577834
560,0,0.5665525,5.728488
561,0,0.5763724,6.023186
562,0,0.4917911,4.84894
563,0,0.4971517,4.96324
564,0,0.1546848,3.549561
565,0,0.4864196,4.790128
566,0,0.5568401,6.018718
567,0,0.5119551,5.123703
568,0,0,8.291809
569,0,0.5645282,5.378237
570,0,0.5659972,4.952479
571,0,0.6127539,6.121713
572,0,0.604104,6.309349
573,0,0.499761,5.289275
574,0,0,15.76889
575,0,0.5244341,5.379887
576,0,0.479551,4.771149
577,0,0.5437468,5.719161
578,0,0.5275239,5.304531
579,0,0.5117428,5.24407
580,0,0.5128451,5.375197
581,0,0.5013652,4.946848
582,0,0.5213525,4.112825
583,0,0.5685568,5.953579
584,0,0.5148726,5.112787
585,0,0.5529748,4.811676
586,0,0.5636511,5.471531
587,0,0.5321694,5.585499
588,0,0.5347125,4.748449
589,0,0.508629,5.374136
590,0,0.5446017,5.633465
591,0,0.4971848,5.256481
592,0,0.5071536,4.971653
593,0,0.5872657,5.10717
594,0,0.5155272,5.196298
595,0,0.5309175,5.340238
596,0,0.5337541,5.71969
597,0,0.511864,5.280622
598,0,0.5424389,5.396537
599,0,0.5366117,5.228392
600,0,0.517537,5.285392
601,0,0.4988531,6.470708
602,0,0.5571138,5.452469
603,0,0.5659226,5.61017
604,0,0.5545441,5.965813
