Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
384,1,0.0000,1.2366,11.18,558
385,1,0.2617,0.5815,13.14,1154
386,1,0.0199,1.6714,7.96,703
387,1,0.2800,0.9733,12.64,750
388,1,0.6651,1.2127,13.50,630
389,1,0.0249,1.3897,12.66,603
390,1,0.0860,1.0906,9.18,651
391,1,0.2996,1.2474,15.46,671
392,1,0.4857,1.1959,14.62,735
393,1,0.1402,1.0654,6.70,642
394,1,0.4213,1.8036,19.84,769
395,1,0.0922,1.7378,11.86,553
396,1,0.0247,1.5556,11.44,648
397,1,0.0543,1.7430,13.84,1031
398,1,0.5701,1.3315,15.88,742
399,1,0.4782,1.1030,14.02,757
400,1,0.1071,1.6331,10.28,635
401,1,0.6550,1.2738,20.14,829
402,1,0.1041,1.5360,8.92,653
403,1,0.1935,1.3716,13.38,584
404,1,0.0232,1.3555,12.32,647
405,1,0.3063,1.4825,11.76,630
406,1,0.0000,1.7464,12.30,556
407,1,0.1570,1.2461,13.14,841
408,1,0.1407,1.4180,15.38,732
409,1,0.0000,1.5855,10.12,608
410,1,0.3756,1.6745,14.98,639
411,1,0.0000,1.0733,9.12,737
412,1,0.0344,1.6497,17.36,668
413,1,0.3354,1.4814,13.32,644
414,1,0.1963,1.2617,12.76,642
415,1,0.1325,1.1510,19.90,755
416,1,0.0777,1.1123,12.60,721
417,1,0.3440,1.6095,12.82,840
418,1,0.5405,1.2197,15.80,851
419,1,0.4492,1.5436,15.42,699
420,1,0.0000,1.6170,11.50,658
421,1,0.0920,1.5139,13.20,576
422,1,0.0000,1.8621,17.70,718
423,1,0.1646,0.7658,13.48,978
424,1,0.0000,1.3527,11.66,584
425,1,0.0449,1.6859,17.06,780
426,1,0.3506,1.1682,12.36,636
427,1,0.0874,1.2664,8.64,732
428,1,0.0290,1.8805,8.06,586
429,1,0.0676,0.8514,13.66,740
430,1,0.0505,1.4618,8.58,654
431,1,0.7599,0.7387,15.14,708
432,1,0.2019,1.1258,13.20,644
433,1,0.2665,1.5100,13.24,653
434,1,0.3393,1.7798,12.70,613
435,1,0.0250,1.7520,6.28,641
436,1,0.6442,1.7841,12.00,579
437,1,0.3570,1.5383,11.86,535
438,1,0.1287,1.7127,12.82,637
